Duracion,Longitud,Latitud,Elevacion,PC
0,14.823283,46.496095,903.6,104
1,14.823276,46.496111,903.7,104
6,14.823196,46.496227,904.3,108
10,14.82311,46.496351,904.6,113
16,14.823014,46.496547,904.7,113
22,14.822954,46.496744,904.6,112
28,14.822795,46.496906,905.7,111
29,14.822795,46.496919,905.7,111
35,14.822794,46.497031,905.6,109
40,14.822852,46.497086,904.8,106
41,14.822911,46.497141,904.1,105
44,14.822976,46.497167,903.8,102
46,14.823009,46.497167,903.7,101
77,14.822954,46.497162,903.9,103
80,14.822895,46.497146,904.3,102
85,14.822802,46.497083,905.4,103
92,14.822797,46.496945,905.6,101
97,14.822866,46.496843,905.1,99
103,14.822941,46.496702,904.8,96
109,14.82297,46.496511,905.1,100
114,14.823084,46.496332,904.8,100
119,14.823212,46.496127,904.1,99
120,14.82324,46.49609,903.9,100
124,14.823379,46.495913,902.8,99
128,14.823532,46.495741,901.7,96
132,14.823653,46.49556,900.8,95
136,14.823809,46.49539,900.0,93
140,14.823978,46.495218,900.6,95
143,14.824152,46.495054,901.2,91
146,14.824322,46.494916,901.5,89
148,14.824423,46.494842,901.7,91
152,14.824788,46.494712,900.2,91
154,14.824967,46.494715,898.6,93
156,14.825141,46.494721,897.0,96
159,14.825418,46.494674,894.3,98
160,14.825498,46.494652,894.1,97
163,14.825734,46.494569,893.4,96
164,14.825803,46.494533,893.6,96
167,14.826014,46.49443,893.9,101
170,14.82619,46.494343,893.7,106
171,14.826237,46.494315,893.7,107
176,14.82643,46.494292,897.3,113
179,14.826545,46.494357,899.1,117
185,14.82678,46.494497,902.3,123
191,14.826955,46.494647,904.2,127
197,14.827065,46.494798,904.7,131
199,14.827093,46.494847,904.7,132
204,14.827113,46.494946,904.2,134
209,14.827088,46.495036,902.8,136
214,14.827089,46.495131,901.9,137
219,14.827177,46.495237,902.6,137
220,14.827191,46.49526,902.6,138
225,14.827296,46.495349,903.6,138
233,14.827486,46.495456,906.2,139
241,14.827716,46.495517,910.0,139
243,14.827772,46.495528,910.9,139
249,14.827949,46.495487,914.3,139
253,14.828123,46.49544,918.8,140
254,14.828158,46.495438,919.6,140
262,14.828425,46.495466,925.6,139
263,14.828464,46.49548,926.4,139
267,14.828569,46.495532,928.1,138
274,14.828701,46.495674,929.0,137
279,14.828809,46.495764,930.3,138
284,14.828929,46.495844,932.4,138
290,14.828999,46.495967,932.1,136
